episode,total_charged_prop,avg_mcs_reward,avg_iev_reward,avg_wait_time,avg_extra_dist,total_profit,avg_idle_time,energy_efficiency,mcs_epsilon,iev_epsilon,avg_decide_ms,mcs_learn_updates,iev_learn_updates,mcs_replay_size,iev_replay_size,avg_transitions_per_step,avg_gnn_encode_ms_per_step,avg_dqn_train_ms_per_step
14,0.7112068965517241,21.090243951388594,0.09648257817785326,2.242424242424242,0.8160971180310481,5602.735982334398,324.75,0.9662131383397373,0.137,0.137,5.842585000027611,100,100,20581,1707,14.36,300.30389000025025,34.58859199996368
15,0.6589861751152074,10.964742547208761,0.06572576073548325,1.8181818181818181,0.7280570111107801,4913.855601722905,345.0,0.9614397634401355,0.1325,0.1325,6.188829000275291,100,100,21961,1808,14.81,328.4292670002833,35.4002840000976
16,0.6747572815533981,21.248932255609866,0.06372297481912514,1.6906474820143884,0.540249035135964,4850.693116528519,345.25,0.9584073887649707,0.128,0.128,5.338709999814455,100,100,23340,1878,14.49,328.97222100004,25.793948999853455
17,0.8,21.56201208983395,0.10485283438426647,2.34375,0.7957418259567968,5698.836770675873,323.75,0.9662525957282634,0.1235,0.1235,9.733917000121437,100,100,24635,1963,13.8,526.8260870001177,50.70552499983023
18,0.6576576576576577,21.283733973258162,0.10234003931810337,2.7054794520547945,0.7580915067557751,4965.301492039598,342.25,0.9607473115051756,0.119,0.119,9.748794000079215,100,100,25994,2113,15.09,602.9716870001357,41.392837000203144
19,0.7135922330097088,14.591034246556495,0.08901251149740695,2.17687074829932,0.6448187530735534,4991.305061316018,342.5,0.9591998779961642,0.1145,0.1145,6.438058000167075,100,100,27362,2201,14.56,345.322761999887,33.7161639999249
20,0.6372549019607843,9.772822046433324,0.08702074511531491,2.576923076923077,0.9326104516373005,4454.144656810453,357.75,0.956951253702791,0.11,0.11,6.103329999932612,100,100,28761,2345,15.43,313.4075619999203,31.455703000101494
21,0.6285714285714286,22.413388196760597,0.0833976301470473,2.537878787878788,0.7097697312330808,4343.3117594209925,361.5,0.9565223447871039,0.1055,0.1055,6.754718000120192,100,100,30203,2453,15.5,332.6218260002861,31.485034999823256
22,0.6896551724137931,14.97115497213601,0.07776710219680721,2.0,0.8329527635916071,4798.793555448105,348.0,0.9612513903981792,0.10099999999999999,0.10099999999999999,6.66799099984928,100,100,31587,2554,14.85,327.79682300006243,36.40137500002311
23,0.7198067632850241,22.033247945402916,0.09843403315651227,2.61744966442953,0.6575881404075375,5375.912097367222,335.0,0.9648710316433726,0.0965,0.0965,6.904076000027999,100,100,32921,2657,14.37,350.77546699976665,33.29224499986594
24,0.7348837209302326,19.736511533401217,0.10259217469516937,2.278481012658228,0.8070497241655672,5450.3115510495545,330.0,0.9652246844318659,0.092,0.092,11.914350999904855,100,100,34241,2791,14.54,624.6991559998423,55.208224000271
25,0.6739130434782609,22.38187256312764,0.12179354915570675,2.7096774193548385,0.9580489760038767,5130.92776091319,337.25,0.9654186818140534,0.0875,0.0875,11.596233999916876,100,100,35588,2951,15.07,609.4377449999956,52.61436400007369
